NAME,DATA2010,DATA2011,DATA2012,DATA2013,DATA2014,DATA2015,DATA2016,DATA2017
Alabama,4779736,4779735,4785401,4802740,5666,17339,14482,59866
Alaska,710231,710231,714146,722718,3915,8572,2834,11193
Arizona,6392017,6392013,6413158,6482505,21145,69347,20900,87887
Arkansas,2915918,2915921,2921588,2937979,5667,16391,9218,38156
California,37253956,37253956,37338198,37691912,84242,353714,123173,508069
Colorado,5029196,5029196,5047692,5116796,18496,69104,16453,66213
Connecticut,3574097,3574097,3575498,3580709,1401,5211,9241,37319
Delaware,897934,897934,899792,907135,1858,7343,2774,11172
District of Columbia,601723,601723,604912,617996,3189,13084,2232,9003
Florida,18801310,18801311,18838613,19057542,37302,218929,51537,213292
Georgia,9687653,9687660,9712157,9815210,24497,103053,32410,134442
Hawaii,1360301,1360301,1363359,1374810,3058,11451,4600,18501
Idaho,1567582,1567582,1571102,1584985,3520,13883,5789,22954
Illinois,12830632,12830632,12841980,12869257,11348,27277,42060,167000
Indiana,6483802,6483800,6490622,6516922,6822,26300,21286,84732
Iowa,3046355,3046350,3050202,3062309,3852,12107,9400,38324
Kansas,2853118,2853118,2859143,2871238,6025,12095,9845,40132
Kentucky,4339367,4339362,4347223,4369356,7861,22133,13991,56447
Louisiana,4533372,4533372,4545343,4574836,11971,29493,15571,63969
Maine,1328361,1328361,1327379,1328188,-982,809,3186,12868
Maryland,5773552,5773552,5785681,5828289,12129,42608,18102,72995
Massachusetts,6547629,6547629,6555466,6587536,7837,32070,18589,73368
Michigan,9883640,9883635,9877143,9876187,-6492,-956,28932,113894
Minnesota,5303925,5303925,5310658,5344861,6733,34203,16979,68088
Mississippi,2967297,2967297,2970072,2978512,2775,8440,9515,40464
Missouri,5988927,5988927,5995715,6010688,6788,14973,18600,75910
Montana,989415,989415,990958,998199,1543,7241,2973,11911
Nebraska,1826341,1826341,1830141,1842641,3800,12500,6316,25991
Nevada,2700551,2700551,2704283,2723322,3732,19039,9162,36772
New Hampshire,1316470,1316472,1316807,1318194,335,1387,3191,12795
New Jersey,8791894,8791894,8799593,8821155,7699,21562,25275,104343
New Mexico,2059179,2059180,2065913,2082224,6733,16311,7109,28511
New York,19378102,19378104,19395206,19465197,17102,69991,61126,242972
North Carolina,9535483,9535475,9560234,9656401,24759,96167,29777,122131
North Dakota,672591,672591,674629,683932,2038,9303,2280,8960
Ohio,11536504,11536502,11537968,11544951,1466,6983,35487,140808
Oklahoma,3751351,3751354,3760184,3791508,8830,31324,13366,53727
Oregon,3831074,3831074,3838332,3871859,7258,33527,11737,46232
Pennsylvania,12702379,12702379,12717722,12742886,15343,25164,36145,143420
Rhode Island,1052567,1052567,1052528,1051302,-39,-1226,2761,11012
South Carolina,4625364,4625364,4637106,4679230,11742,42124,14781,59522
South Dakota,814180,814180,816598,824082,2418,7484,2968,11763
Tennessee,6346105,6346110,6357436,6403353,11326,45917,20076,80536
Texas,25145561,25145561,25253466,25674681,107905,421215,97517,396133
Utah,2763885,2763885,2775479,2817222,11594,41743,13153,52003
Vermont,625741,625741,625909,626431,168,522,1530,5955
Virginia,8001024,8001030,8023953,8096604,22923,72651,25179,101935
Washington,6724540,6724540,6742950,6830038,18410,87088,21833,86767
West Virginia,1852994,1852996,1854368,1855364,1372,996,5127,20642
Wisconsin,5686986,5686986,5691659,5711767,4673,20108,17577,69346
Wyoming,563626,563626,564554,568158,928,3604,1855,7555
Puerto Rico Commonwealth,3725789,3725789,3721978,3706690,-3811,-15288,10491,42079
