DATA2017,DATA2016,NAME,DATA2015,DATA125,DATA2013,DATA2012
10,20,Seoul,15,75,32,45
10,3447,Busan,3452,3452,3456,3462
10,2465,Daegu,2469,2475,2476,2480
10,2907,Incheon,2883,2862,2830,2794
10,1504,Gwangju,1506,1505,1504,1504
10,1535,Daejeon,1542,1553,1545,1540
10,1169,Ulsan,1164,1151,1137,1125
10,230,Sejong,185,131,124,115
10,12612,Gyeonggi,12423,12282,12126,11974
10,1520,Gangwon,1517,1510,1506,1504
10,1596,Chungbuk,1589,1578,1565,1553
10,2123,Chungnam,2103,2088,2062,2043
10,1833,Jeonbuk,1835,1829,1821,1817
10,1800,Jeonnam,1797,1792,1784,1782
10,2686,Gyeongbuk,2678,2671,2661,2656
10,3346,Gyeongnam,3330,3307,3278,3265
10,619,Jeju,599,583,570,561
